date,status,state,value,value_cumsum,F5.value_cumsum
2020-03-14,Confirmed,TT,81,81,198
2020-03-14,Confirmed,AN,0,0,0
2020-03-14,Confirmed,AP,1,1,3
2020-03-14,Confirmed,AR,0,0,0
2020-03-14,Confirmed,AS,0,0,0
2020-03-14,Confirmed,BR,0,0,0
2020-03-14,Confirmed,CH,0,0,1
2020-03-14,Confirmed,CT,0,0,1
2020-03-14,Confirmed,DN,0,0,0
2020-03-14,Confirmed,DD,0,0,0
2020-03-14,Confirmed,DL,7,7,14
2020-03-14,Confirmed,GA,0,0,0
2020-03-14,Confirmed,GJ,0,0,2
2020-03-14,Confirmed,HR,14,14,17
2020-03-14,Confirmed,HP,0,0,0
2020-03-14,Confirmed,JK,2,2,4
2020-03-14,Confirmed,JH,0,0,0
2020-03-14,Confirmed,KA,6,6,15
2020-03-14,Confirmed,KL,19,19,28
2020-03-14,Confirmed,LA,0,0,8
2020-03-14,Confirmed,LD,0,0,0
2020-03-14,Confirmed,MP,0,0,0
2020-03-14,Confirmed,MH,14,14,48
2020-03-14,Confirmed,MN,0,0,0
2020-03-14,Confirmed,ML,0,0,0
2020-03-14,Confirmed,MZ,0,0,0
2020-03-14,Confirmed,NL,0,0,0
2020-03-14,Confirmed,OR,0,0,2
2020-03-14,Confirmed,PY,0,0,1
2020-03-14,Confirmed,PB,1,1,2
2020-03-14,Confirmed,RJ,3,3,9
2020-03-14,Confirmed,SK,0,0,0
2020-03-14,Confirmed,TN,1,1,3
2020-03-14,Confirmed,TG,1,1,16
2020-03-14,Confirmed,TR,0,0,0
2020-03-14,Confirmed,UP,12,12,20
2020-03-14,Confirmed,UT,0,0,3
2020-03-14,Confirmed,WB,0,0,1
2020-03-14,Recovered,TT,9,9,20
2020-03-14,Recovered,AN,0,0,0
2020-03-14,Recovered,AP,0,0,0
2020-03-14,Recovered,AR,0,0,0
2020-03-14,Recovered,AS,0,0,0
2020-03-14,Recovered,BR,0,0,0
2020-03-14,Recovered,CH,0,0,0
2020-03-14,Recovered,CT,0,0,0
2020-03-14,Recovered,DN,0,0,0
2020-03-14,Recovered,DD,0,0,0
2020-03-14,Recovered,DL,1,1,3
2020-03-14,Recovered,GA,0,0,0
2020-03-14,Recovered,GJ,0,0,0
2020-03-14,Recovered,HR,0,0,0
2020-03-14,Recovered,HP,0,0,0
2020-03-14,Recovered,JK,0,0,0
2020-03-14,Recovered,JH,0,0,0
2020-03-14,Recovered,KA,0,0,0
2020-03-14,Recovered,KL,3,3,3
2020-03-14,Recovered,LA,0,0,0
2020-03-14,Recovered,LD,0,0,0
2020-03-14,Recovered,MP,0,0,0
2020-03-14,Recovered,MH,0,0,0
2020-03-14,Recovered,MN,0,0,0
2020-03-14,Recovered,ML,0,0,0
2020-03-14,Recovered,MZ,0,0,0
2020-03-14,Recovered,NL,0,0,0
2020-03-14,Recovered,OR,0,0,0
2020-03-14,Recovered,PY,0,0,0
2020-03-14,Recovered,PB,0,0,0
2020-03-14,Recovered,RJ,1,1,3
2020-03-14,Recovered,SK,0,0,0
2020-03-14,Recovered,TN,0,0,1
2020-03-14,Recovered,TG,0,0,1
2020-03-14,Recovered,TR,0,0,0
2020-03-14,Recovered,UP,4,4,9
2020-03-14,Recovered,UT,0,0,0
2020-03-14,Recovered,WB,0,0,0
2020-03-14,Deceased,TT,2,2,4
2020-03-14,Deceased,AN,0,0,0
2020-03-14,Deceased,AP,0,0,0
2020-03-14,Deceased,AR,0,0,0
2020-03-14,Deceased,AS,0,0,0
2020-03-14,Deceased,BR,0,0,0
2020-03-14,Deceased,CH,0,0,0
2020-03-14,Deceased,CT,0,0,0
2020-03-14,Deceased,DN,0,0,0
2020-03-14,Deceased,DD,0,0,0
2020-03-14,Deceased,DL,1,1,1
2020-03-14,Deceased,GA,0,0,0
2020-03-14,Deceased,GJ,0,0,0
2020-03-14,Deceased,HR,0,0,0
2020-03-14,Deceased,HP,0,0,0
2020-03-14,Deceased,JK,0,0,0
2020-03-14,Deceased,JH,0,0,0
2020-03-14,Deceased,KA,1,1,1
2020-03-14,Deceased,KL,0,0,0
2020-03-14,Deceased,LA,0,0,0
2020-03-14,Deceased,LD,0,0,0
2020-03-14,Deceased,MP,0,0,0
2020-03-14,Deceased,MH,0,0,1
2020-03-14,Deceased,MN,0,0,0
2020-03-14,Deceased,ML,0,0,0
2020-03-14,Deceased,MZ,0,0,0
2020-03-14,Deceased,NL,0,0,0
2020-03-14,Deceased,OR,0,0,0
2020-03-14,Deceased,PY,0,0,0
2020-03-14,Deceased,PB,0,0,1
2020-03-14,Deceased,RJ,0,0,0
2020-03-14,Deceased,SK,0,0,0
2020-03-14,Deceased,TN,0,0,0
2020-03-14,Deceased,TG,0,0,0
2020-03-14,Deceased,TR,0,0,0
2020-03-14,Deceased,UP,0,0,0
2020-03-14,Deceased,UT,0,0,0
2020-03-14,Deceased,WB,0,0,0
2020-03-15,Confirmed,TT,27,108,256
2020-03-15,Confirmed,AN,0,0,0
2020-03-15,Confirmed,AP,0,1,3
2020-03-15,Confirmed,AR,0,0,0
2020-03-15,Confirmed,AS,0,0,0
2020-03-15,Confirmed,BR,0,0,0
2020-03-15,Confirmed,CH,0,0,5
2020-03-15,Confirmed,CT,0,0,1
2020-03-15,Confirmed,DN,0,0,0
