statecode,state,population
AN,Andaman and Nicobar Islands,"3,80,581"
AP,Andhra Pradesh,"8,45,80,777"
AR,Arunachal Pradesh,"13,83,727"
AS,Assam,"3,12,05,576"
BR,Bihar,"10,40,99,452"
CH,Chandigarh,"10,55,450"
CG,Chhattisgarh,"2,55,45,198"
DN,Dadra and Nagar Haveli,"3,43,709"
DD,Daman and Diu,"2,43,247"
DL,Delhi,"1,67,87,941"
GA,Goa,"14,58,545"
GJ,Gujarat,"6,04,39,692"
HR,Haryana,"2,53,51,462"
HP,Himachal Pradesh,"68,64,602"
TT,India,"1,21,08,54,977"
JK,Jammu and Kashmir,"1,25,41,302"
JH,Jharkhand,"3,29,88,134"
KA,Karnataka,"6,10,95,297"
KL,Kerala,"3,34,06,061"
LD,Lakshadweep,"64,473"
MP,Madhya Pradesh,"7,26,26,809"
MH,Maharashtra,"11,23,74,333"
MN,Manipur,"28,55,794"
ML,Meghalaya,"29,66,889"
MZ,Mizoram,"10,97,206"
NL,Nagaland,"19,78,502"
OD,Orissa,"4,19,74,218"
PY,Puducherry,"12,47,953"
PB,Punjab,"2,77,43,338"
RJ,Rajasthan,"6,85,48,437"
SK,Sikkim,"6,10,577"
TN,Tamil Nadu,"7,21,47,030"
TG,Telangana,"3,51,93,978"
TR,Tripura,"36,73,917"
UP,Uttar Pradesh,"19,98,12,341"
UK,Uttarakhand,"1,00,86,292"
WB,West Bengal,"9,12,76,115"
LD,Ladakh,"2,74,289"
,,
Note - Data for telangana and Ladakh were taken from Wikipedia,,
